CP	Nom	Population	Categorie
01540	Perrex	810	3
01540	Saint-Julien-sur-Veyle	727	3
01550	Collonges	1979	3
01550	Farges	901	3
01550	Pougny	808	3
01560	Saint-Trivier-de-Courtes	1047	3
01560	Saint-Jean-sur-Reyssouze	738	3
01560	Saint-Julien-sur-Reyssouze	709	3
01560	Saint-Nizier-le-Bouchoux	694	3
01560	Lescheroux	690	3
01560	Cormoz	644	3
01570	Feillens	3108	3
01570	Manziat	1932	3
01580	Izernore	2294	3
01580	Samognat	704	3
01580	Matafelon-Granges	652	3
01590	Dortan	1934	3
01600	Trévoux	6687	3
01600	Reyrieux	4202	3
01600	Massieux	2416	3
01600	Misérieux	1779	3
01600	Saint-Didier-de-Formans	1775	3
01600	Sainte-Euphémie	1531	3
01600	Saint-Bernard	1386	3
01600	Parcieux	1109	3
01600	Toussieux	783	3
01620	Replonges	3601	3
01620	Saint-Laurent-sur-Saône	1760	3
01620	Crottet	1722	3
01630	Saint-Genis-Pouilly	9186	3
01630	Péron	2254	3
01630	Sergy	2005	3
01630	Saint-Jean-de-Gonville	1498	3
01630	Challex	1268	3
01640	Jujurieux	2124	3
01660	Mézériat	2090	3
01660	Chaveyriat	943	3
01660	Vandeins	636	3
01680	Lhuis	872	3
01700	Beynost	4471	3
01700	Saint-Maurice-de-Beynost	3864	3
01700	Neyron	2489	3
01800	Meximieux	7253	3
01800	Saint-Maurice-de-Gourdans	2475	3
01800	Pérouges	1203	3
01800	Bourg-Saint-Christophe	1201	3
01800	Rignieux-le-Franc	953	3
01800	Charnoz-sur-Ain	913	3
01800	Faramans	712	3
01810	Bellignat	3590	3
01810	Martignat	1595	3
01810	Groissiat	1153	3
01851	Marboz	2185	3
01960	Péronnas	6053	3
01990	Saint-Trivier-sur-Moignans	1847	3
01990	Chaneins	810	3
01990	Baneins	567	3
02000	Laon	25745	2
02000	Aulnois-sous-Laon	1336	3
02000	Chavignon	760	3
02000	Chambry	735	3
02000	Chéry-lès-Pouilly	676	3
02000	Barenton-Bugny	578	3
02000	Urcel	539	3
02000	Chivy-lès-Étouvelles	504	3
02100	Saint-Quentin	56278	2
02100	Harly	1697	3
02100	Gricourt	904	3
02100	Neuville-Saint-Amand	887	3
02100	Lesdins	847	3
02100	Omissy	777	3
02100	Fayet	630	3
02100	Morcourt	602	3
02110	Bohain-en-Vermandois	5921	3
02110	Beaurevoir	1498	3
02110	Seboncourt	1089	3
02110	Vaux-Andigny	960	3
02110	Montbrehain	821	3
02110	Prémont	757	3
02110	Brancourt-le-Grand	620	3
02110	Étaves-et-Bocquiaux	569	3
02120	Guise	5173	3
02120	Sains-Richaumont	1033	3
02120	Lesquielles-Saint-Germain	840	3
02120	Vadencourt	618	3
02130	Fère-en-Tardenois	3231	3
02130	Beuvardes	722	3
02140	Vervins	2614	3
02140	Fontaine-lès-Vervins	984	3
02140	Landouzy-la-Ville	546	3
02150	Sissonne	2069	3
02160	Bourg-et-Comin	787	3
02160	Beaurieux	785	3
02160	Pontavert	594	3
02170	Le Nouvion-en-Thiérache	2804	3
02170	Esquéhéries	848	3
02190	Guignicourt	2140	3
02190	Berry-au-Bac	588	3
02190	Évergnicourt	567	3
02190	Juvincourt-et-Damary	519	3
02190	Orainville	500	3
02200	Soissons	28551	2
02200	Belleu	3867	3
02200	Villeneuve-Saint-Germain	2461	3
02200	Courmelles	1708	3
