CP	Nom	Population	Categorie
26210	Manthes	650	3
26210	Moras-en-Valloire	620	3
26220	Dieulefit	3011	3
26230	Grignan	1625	3
26230	Chamaret	552	3
26230	Valaurie	544	3
26240	Saint-Uze	1977	3
26240	Saint-Barthélemy-de-Vals	1921	3
26240	Beausemblant	1316	3
26240	Laveyron	1007	3
26240	Claveyson	915	3
26240	La Motte-de-Galaure	774	3
26250	Livron-sur-Drôme	8986	3
26260	Saint-Donat-sur-l'Herbasse	3883	3
26260	Clérieux	2036	3
26260	Margès	941	3
26260	Charmes-sur-l'Herbasse	923	3
26260	Saint-Bardoux	577	3
26260	Arthémonay	544	3
26260	Bren	536	3
26270	Loriol-sur-Drôme	5877	3
26270	Saulce-sur-Rhône	1792	3
26270	Cliousclat	644	3
26270	Mirmande	503	3
26290	Donzère	5351	3
26290	Les Granges-Gontardes	533	3
26300	Bourg-de-Péage	10101	2
26300	Chatuzange-le-Goubet	4857	3
26300	Alixan	2455	3
26300	Charpey	1274	3
26300	Bésayes	1122	3
26300	Rochefort-Samson	964	3
26300	Barbières	898	3
26300	Jaillans	876	3
26300	Beauregard-Baret	798	3
26300	Marches	772	3
26320	Saint-Marcel-lès-Valence	5519	3
26330	Châteauneuf-de-Galaure	1588	3
26340	Saillans	1199	3
26350	Montchenu	577	3
26350	Crépol	526	3
26380	Peyrins	2416	3
26390	Hauterives	1720	3
26400	Crest	8008	3
26400	Allex	2485	3
26400	Aouste-sur-Sye	2382	3
26400	Eurre	1126	3
26400	Mirabel-et-Blacons	885	3
26400	Piégros-la-Clastre	850	3
26400	Chabrillan	665	3
26400	Divajeu	608	3
26400	Saou	518	3
26410	Châtillon-en-Diois	564	3
26420	La Chapelle-en-Vercors	676	3
26450	Cléon-d'Andran	892	3
26450	Puy-Saint-Martin	843	3
26450	Charols	801	3
26460	Bourdeaux	616	3
26500	Bourg-lès-Valence	19013	2
26540	Mours-Saint-Eusèbe	2653	3
26600	Tain-l'Hermitage	5822	3
26600	La Roche-de-Glun	3158	3
26600	Pont-de-l'Isère	2945	3
26600	Mercurol	2197	3
26600	Chantemerle-les-Blés	1135	3
26600	Beaumont-Monteux	1111	3
26600	Chanos-Curson	1088	3
26600	Larnage	1002	3
26600	Érôme	849	3
26600	Serves-sur-Rhône	767	3
26600	Crozes-Hermitage	573	3
26600	Gervans	560	3
26620	Lus-la-Croix-Haute	521	3
26700	Pierrelatte	12953	2
26700	La Garde-Adhémar	1107	3
26730	Eymeux	1047	3
26730	Hostun	951	3
26730	La Baume-d'Hostun	553	3
26740	Montboucher-sur-Jabron	2165	3
26740	Sauzet	1830	3
26740	Savasse	1311	3
26740	Marsanne	1180	3
26740	Saint-Marcel-lès-Sauzet	1151	3
26740	La Coucourde	993	3
26740	La Laupie	715	3
26750	Génissieux	1981	3
26750	Saint-Paul-lès-Romans	1793	3
26750	Châtillon-Saint-Jean	1221	3
26750	Parnans	681	3
26750	Geyssans	647	3
26750	Montmiral	621	3
26750	Triors	609	3
26750	Saint-Michel-sur-Savasse	536	3
26760	Beaumont-lès-Valence	3787	3
26760	Montéléger	1802	3
26770	Taulignan	1618	3
26780	Châteauneuf-du-Rhône	2430	3
26780	Allan	1606	3
26780	Espeluche	1041	3
26790	Tulette	1933	3
26790	Suze-la-Rousse	1923	3
26790	Rochegude	1489	3
26790	Bouchet	1267	3
26790	La Baume-de-Transit	841	3
26800	Portes-lès-Valence	9507	3
26800	Étoile-sur-Rhône	4878	3
26800	Montoison	1792	3
26800	Beauvallon	1589	3
27000	Évreux	49359	2
27100	Val-de-Reuil	13233	2
27100	Le Vaudreuil	3665	3
27110	Le Neubourg	4208	3
27110	Saint-Aubin-d'Écrosville	668	3
27110	Quittebeuf	596	3
27110	Crosville-la-Vieille	568	3
27110	Épégard	527	3
27120	Pacy-sur-Eure	4581	3
27120	Ménilles	1544	3
27120	Houlbec-Cocherel	1361	3
27120	Fontaine-sous-Jouy	770	3
27120	Le Val-David	759	3
27120	Saint-Aquilin-de-Pacy	568	3
27120	Jouy-sur-Eure	562	3
27130	Verneuil-sur-Avre	6272	3
27130	Piseux	661	3
27140	Gisors	11474	2
27140	Bazincourt-sur-Epte	713	3
27140	Saint-Denis-le-Ferment	515	3
27150	Étrépagny	3834	3
27150	Boisemont	770	3
27150	Hébécourt	600	3
27150	Morgny	585	3
27150	Puchay	571	3
27160	La Guéroulde	806	3
27160	Les Baux-de-Breteuil	673	3
27160	Sainte-Marguerite-de-l'Autel	549	3
27170	Beaumont-le-Roger	2984	3
27170	Barc	1093	3
27170	Combon	788	3
27170	Beaumontel	701	3
27170	Grosley-sur-Risle	543	3
27180	Saint-Sébastien-de-Morsent	4957	3
27180	Arnières-sur-Iton	1593	3
27180	Claville	1082	3
27180	Les Ventes	1039	3
27180	Les Baux-Sainte-Croix	908	3
27180	Caugé	835	3
27180	Le Plessis-Grohan	797	3
27180	Aulnay-sur-Iton	741	3
27190	Conches-en-Ouche	4978	3
27190	Ferrières-Haut-Clocher	1153	3
27190	Le Fidelaire	996	3
27190	Glisolles	829	3
27190	Émanville	576	3
27190	Louversey	573	3
27190	Orvaux	520	3
27200	Vernon	24772	2
27210	Beuzeville	4293	3
27210	Boulleville	1017	3
27210	Fatouville-Grestain	746	3
27210	Fiquefleur-Équainville	661	3
27210	Berville-sur-Mer	608	3
27210	Foulbec	578	3
27210	Saint-Maclou	572	3
27210	Saint-Pierre-du-Val	558	3
27210	Manneville-la-Raoult	516	3
27220	Saint-André-de-l'Eure	3600	3
27220	Bois-le-Roi	1051	3
27220	Prey	923	3
27220	Mouettes	710	3
27220	Mousseaux-Neuville	667	3
27220	Garencières	558	3
27220	Chavigny-Bailleul	553	3
27220	L'Habit	531	3
27220	Coudres	528	3
27220	La Forêt-du-Parc	508	3
27230	Thiberville	1820	3
27230	Saint-Germain-la-Campagne	885	3
27230	Drucourt	610	3
27240	Damville	1970	3
27240	Gouville	532	3
27240	Corneuil	502	3
27250	Rugles	2358	3
27250	Bois-Arnault	739	3
27250	Ambenay	563	3
27250	Chéronvilliers	550	3
27260	Épaignes	1382	3
27260	Cormeilles	1160	3
27260	Saint-Pierre-de-Cormeilles	620	3
27270	Broglie	1098	3
27290	Appeville-Annebault	889	3
27290	Illeville-sur-Montfort	881	3
27290	Montfort-sur-Risle	791	3
27290	Saint-Philbert-sur-Risle	771	3
27290	Pont-Authou	698	3
27290	Condé-sur-Risle	574	3
27290	Écaquelon	542	3
27300	Bernay	10288	2
27300	Menneval	1435	3
27300	Saint-Aubin-le-Vertueux	874	3
27300	Courbépine	720	3
27300	Plasnes	692	3
27310	Bourg-Achard	3031	3
27310	Saint-Ouen-de-Thouberville	2303	3
27310	Bouquetot	1054	3
27310	Bosgouet	612	3
27310	Honguemare-Guenouville	604	3
27320	Nonancourt	2324	3
27320	Saint-Germain-sur-Avre	1226	3
27320	Marcilly-la-Campagne	1027	3
27320	Courdemanche	597	3
27330	La Barre-en-Ouche	1011	3
27330	La Vieille-Lyre	626	3
27330	La Neuve-Lyre	593	3
27340	Pont-de-l'Arche	4154	3
27340	Les Damps	1283	3
27340	Criquebeuf-sur-Seine	1206	3
27340	Martot	573	3
27350	Routot	1409	3
27350	Hauville	1283	3
27350	Rougemontiers	941	3
27350	Étréville	632	3
27360	Pont-Saint-Pierre	1151	3
27370	Le Thuit-Signol	2230	3
27370	La Saussaye	1891	3
27370	Saint-Pierre-des-Fleurs	1315	3
27370	Saint-Pierre-du-Bosguérard	1057	3
27370	Tourville-la-Campagne	967	3
27370	Le Gros-Theil	950	3
27370	Amfreville-la-Campagne	907	3
27370	Saint-Didier-des-Bois	831	3
27370	Le Thuit-Anger	641	3
27370	Vraiville	610	3
27370	La Harengère	540	3
27380	Fleury-sur-Andelle	1875	3
27380	Vandrimare	1031	3
27380	Radepont	741	3
27380	Grainville	569	3
27390	Montreuil-l'Argillé	805	3
27400	Louviers	17697	2
27400	Acquigny	1544	3
27400	La Haye-Malherbe	1509	3
27400	Incarville	1338	3
27400	Heudreville-sur-Eure	1027	3
27400	Montaure	1023	3
27400	Heudebouville	804	3
27400	Hondouville	781	3
27400	Amfreville-sur-Iton	769	3
27400	Pinterville	764	3
27400	Canappeville	666	3
27420	Château-sur-Epte	588	3
27430	Saint-Pierre-du-Vauvray	1329	3
27430	Andé	1121	3
27430	Muids	856	3
27430	Saint-Étienne-du-Vauvray	787	3
27440	Écouis	808	3
27440	Bacqueville	570	3
27450	Saint-Georges-du-Vièvre	754	3
27450	Saint-Étienne-l'Allier	532	3
27460	Igoville	1590	3
27460	Alizay	1429	3
27470	Serquigny	2040	3
27470	Fontaine-l'Abbé	601	3
27480	Lyons-la-Forêt	747	3
27490	La Croix-Saint-Leufroy	1087	3
27490	Fontaine-Heudebourg	706	3
27490	Écardenville-sur-Eure	533	3
27500	Pont-Audemer	8943	3
27500	Saint-Germain-Village	1601	3
27500	Manneville-sur-Risle	1485	3
27500	Corneville-sur-Risle	1285	3
27500	Toutainville	1270	3
27500	Bourneville	913	3
27500	Saint-Mards-de-Blacarville	788	3
27500	Fourmetot	629	3
27510	Tourny	921	3
27510	Mézières-en-Vexin	639	3
27510	Tilly	563	3
27520	Boissey-le-Châtel	885	3
27520	Berville-en-Roumois	788	3
27520	Bosguérard-de-Marcouville	599	3
27530	Ézy-sur-Eure	3322	3
27540	Ivry-la-Bataille	2546	3
27550	Nassandres	1367	3
27560	Lieurey	1400	3
27570	Tillières-sur-Avre	1131	3
27580	Bourth	1247	3
27590	Amfreville-sous-les-Monts	524	3
27600	Gaillon	7208	3
27600	Saint-Aubin-sur-Gaillon	1742	3
27600	Fontaine-Bellenger	1055	3
27600	Saint-Pierre-la-Garenne	935	3
27610	Romilly-sur-Andelle	2971	3
27620	Gasny	3067	3
27620	Bois-Jérôme-Saint-Ouen	752	3
27620	Sainte-Geneviève-lès-Gasny	665	3
27620	Giverny	501	3
27630	Écos	1012	3
27630	Fourges	804	3
27640	Breuilpont	1202	3
27650	Mesnil-sur-l'Estrée	978	3
27650	Muzy	797	3
27660	Bézu-Saint-Éloi	1456	3
27670	Saint-Ouen-du-Tilleul	1561	3
27680	Quillebeuf-sur-Seine	999	3
27680	Trouville-la-Haule	773	3
27680	Saint-Aubin-sur-Quillebeuf	637	3
27700	Les Andelys	8192	3
27700	Hennezis	756	3
27700	Tosny	684	3
27700	Bouafles	661	3
27700	Fresne-l'Archevêque	552	3
27710	Saint-Georges-Motel	949	3
27720	Dangu	597	3
27730	Bueil	1469	3
27740	Poses	1165	3
27750	La Couture-Boussey	2255	3
27770	Illiers-l'Évêque	994	3
27780	Garennes-sur-Eure	1821	3
27790	Rosay-sur-Lieure	556	3
27800	Brionne	4276	3
27800	Harcourt	968	3
27800	Calleville	671	3
27800	Bosrobert	590	3
27810	Marcilly-sur-Eure	1568	3
27830	Neaufles-Saint-Martin	1188	3
27860	Heudicourt	638	3
27870	Vesly	690	3
27890	La Neuville-du-Bosc	562	3
27910	Perriers-sur-Andelle	1837	3
27910	Les Hogues	653	3
27920	Saint-Pierre-de-Bailleul	1008	3
27930	Gravigny	4081	3
27930	Guichainville	2556	3
27930	Angerville-la-Campagne	1107	3
27930	Aviron	1106	3
27930	Sacquenville	1101	3
27930	Normanville	1085	3
27930	Gauciel	845	3
27930	Le Vieil-Évreux	721	3
27930	Le Boulay-Morin	703	3
27930	Huest	689	3
27930	Brosville	656	3
27930	Cierrey	646	3
27930	Reuilly	579	3
27930	Miserey	544	3
27930	Émalleville	527	3
27940	Aubevoye	4852	3
27940	Courcelles-sur-Seine	1808	3
27940	Port-Mort	951	3
27940	Venables	799	3
27940	Villers-sur-le-Roule	751	3
27940	Notre-Dame-de-l'Isle	677	3
27950	La Chapelle-Réanville	1137	3
27950	Saint-Pierre-d'Autils	1002	3
28000	Chartres	39273	2
28100	Dreux	30536	2
28110	Lucé	16228	2
28120	Bailleau-le-Pin	1509	3
28120	Magny	658	3
28120	Montigny-le-Chartif	617	3
28120	Ollé	607	3
28120	Nogent-sur-Eure	512	3
28120	Marchéville	509	3
28130	Maintenon	4446	3
28130	Hanches	2628	3
28130	Saint-Martin-de-Nigelles	1599	3
28130	Villiers-le-Morhier	1352	3
28130	Saint-Piat	1141	3
28130	Houx	803	3
28130	Bouglainval	731	3
28130	Chartainvilliers	725	3
28130	Mévoisins	633	3
28130	Yermenonville	561	3
28140	Orgères-en-Beauce	1114	3
28140	Terminiers	974	3
28150	Voves	3019	3
28150	Boisville-la-Saint-Père	710	3
28150	Ouarville	562	3
28160	Brou	3470	3
28160	Yèvres	1707	3
28160	Unverre	1257	3
28160	Dangeau	959	3
28160	Dampierre-sous-Brou	511	3
28160	Frazé	511	3
28170	Châteauneuf-en-Thymerais	2618	3
28170	Maillebois	970	3
28170	Serazereux	542	3
28170	Favières	531	3
28190	Courville-sur-Eure	2815	3
28190	Saint-Georges-sur-Eure	2448	3
28190	Fontaine-la-Guyon	1585	3
28190	Pontgouin	1091	3
28190	Chuisnes	1041	3
28190	Saint-Arnoult-des-Bois	879	3
28190	Saint-Luperce	871	3
28190	Landelles	587	3
28200	Châteaudun	13216	2
28200	Saint-Denis-les-Ponts	1765	3
28200	Marboué	1125	3
28200	La Chapelle-du-Noyer	1053	3
28200	Jallans	805	3
28200	Donnemain-Saint-Mamès	698	3
28200	Logron	578	3
28200	Lanneray	569	3
28210	Nogent-le-Roi	4172	3
28210	Chaudon	1640	3
28210	Villemeux-sur-Eure	1625	3
28210	Lormaye	647	3
28210	Le Boullay-Thierry	582	3
28220	Cloyes-sur-le-Loir	2738	3
28220	Douy	563	3
28230	Épernon	5455	3
28230	Droue-sur-Drouette	1274	3
28240	La Loupe	3499	3
28240	Fontaine-Simon	913	3
28240	Saint-Éliph	895	3
28240	Belhomert-Guéhouville	823	3
28240	Manou	573	3
28240	Champrond-en-Gâtine	565	3
28240	Saint-Victor-de-Buthon	512	3
28240	Meaucé	507	3
28250	Senonches	3141	3
28250	Digny	1010	3
28260	Anet	2657	3
28260	Oulins	1180	3
28260	Saussay	1054	3
28260	La Chaussée-d'Ivry	1027	3
28260	Guainville	682	3
28260	Gilles	561	3
28270	Brezolles	1838	3
28270	Laons	729	3
28270	Rueil-la-Gadelière	516	3
28290	Arrou	1653	3
28290	Châtillon-en-Dunois	780	3
28290	Courtalain	625	3
28300	Mainvilliers	10194	2
28300	Lèves	5675	3
28300	Champhol	3531	3
28300	Saint-Prest	2016	3
28300	Amilly	1883	3
28300	Bailleau-l'Évêque	1184	3
28300	Coltainville	939	3
28300	Clévilliers	735	3
28310	Fresnay-l'Évêque	712	3
28310	Gommerville	607	3
28320	Gallardon	3513	3
28320	Écrosnes	803	3
28320	Gas	759	3
28320	Ymeray	620	3
28330	Authon-du-Perche	1310	3
28330	La Bazoche-Gouet	1293	3
28340	La Ferté-Vidame	720	3
28340	Boissy-lès-Perche	521	3
28350	Saint-Lubin-des-Joncherets	4188	3
28350	Dampierre-sur-Avre	705	3
28360	Dammarie	1551	3
28360	Prunay-le-Gillon	997	3
28360	Meslay-le-Vidame	517	3
28380	Saint-Rémy-sur-Avre	3749	3
28400	Nogent-le-Rotrou	10800	2
28400	Margon	1216	3
28400	Brunelles	563	3
28400	Souancé-au-Perche	547	3
28410	Bû	1844	3
28410	Goussainville	952	3
28410	Broué	905	3
28410	Saint-Lubin-de-la-Haye	904	3
28480	Thiron-Gardais	1084	3
28480	Combres	526	3
28500	Vernouillet	11825	2
28500	Luray	1591	3
28500	Tréon	1363	3
28500	Vert-en-Drouais	1146	3
28500	Mézières-en-Drouais	1060	3
28500	Sainte-Gemme-Moronval	1047	3
28500	Garnay	907	3
28500	Ouerre	667	3
28500	Saulnières	633	3
28500	Aunay-sous-Crécy	571	3
28500	Charpont	556	3
28500	Montreuil	506	3
28520	Sorel-Moussel	1748	3
28560	Berchères-sur-Vesgre	826	3
28570	Abondant	2218	3
28600	Luisant	6795	3
28630	Sours	1852	3
28630	Barjouville	1639	3
28630	Morancez	1635	3
28630	Nogent-le-Phaye	1332	3
28630	Thivars	997	3
28630	Berchères-les-Pierres	983	3
28630	Mignières	858	3
28630	Fontenay-sur-Eure	839	3
28630	Gellainville	566	3
28700	Auneau	4167	3
28700	Béville-le-Comte	1474	3
28700	Aunay-sous-Auneau	1407	3
28700	Sainville	977	3
28700	Le Gué-de-Longroi	865	3
28700	Francourville	760	3
28700	Denonville	754	3
28700	Oysonville	501	3
28800	Bonneval	4674	3
28800	Sancheville	811	3
28800	Alluyes	756	3
28800	Le Gault-Saint-Denis	695	3
28800	Bouville	551	3
29000	Quimper	63235	2
29100	Douarnenez	14815	2
29100	Poullan-sur-Mer	1548	3
29100	Pouldergat	1242	3
29100	Kerlaz	816	3
29100	Le Juch	734	3
29120	Pont-l'Abbé	8432	3
29120	Plomeur	3770	3
29120	Combrit	3620	3
29120	Tréméoc	1264	3
29120	Saint-Jean-Trolimon	1003	3
29140	Rosporden	7334	3
29140	Melgven	3354	3
29140	Tourch	988	3
29150	Châteaulin	5217	3
29150	Dinéault	1756	3
29150	Cast	1593	3
29160	Crozon	7751	3
29160	Lanvéoc	2246	3
29170	Fouesnant	9143	3
29170	Saint-Évarzec	3539	3
29170	Pleuven	2630	3
29180	Plogonnec	3056	3
29180	Guengat	1659	3
29180	Quéménéven	1141	3
29180	Locronan	799	3
29190	Pleyben	3687	3
29190	Gouézec	1123	3
29190	Brasparts	1035	3
29190	Lennon	806	3
29190	Le Cloître-Pleyben	577	3
29200	Brest	140547	1
29217	Plougonvelin	3828	3
29217	Le Conquet	2688	3
29233	Cléder	3844	3
29241	Locquirec	1436	3
29242	Ouessant	883	3
29246	Poullaouen	1407	3
29250	Saint-Pol-de-Léon	6804	3
29250	Santec	2304	3
29250	Plougoulm	1790	3
29250	Sibiril	1230	3
29260	Lesneven	7125	3
29260	Ploudaniel	3670	3
29260	Le Folgoët	3101	3
29260	Plouider	2003	3
29260	Kernilis	1388	3
29260	Saint-Méen	828	3
29260	Kernouës	714	3
29260	Saint-Frégant	712	3
29260	Trégarantec	573	3
29270	Carhaix-Plouguer	7541	3
29270	Plounévézel	1186	3
29270	Cléden-Poher	1104	3
29270	Kergloff	940	3
29270	Saint-Hernin	748	3
29270	Motreff	731	3
29280	Plouzané	11928	2
29290	Saint-Renan	7612	3
29290	Milizac	3148	3
29290	Lanrivoaré	1451	3
29290	Guipronvel	786	3
29300	Quimperlé	12156	2
29300	Rédené	2870	3
29300	Mellac	2696	3
29300	Arzano	1402	3
29300	Baye	1135	3
29300	Guilligomarc'h	725	3
29310	Querrien	1718	3
29310	Locunolé	1129	3
29350	Moëlan-sur-Mer	6981	3
29360	Clohars-Carnoët	4072	3
29370	Elliant	3206	3
29370	Coray	1867	3
29380	Bannalec	5513	3
29380	Le Trévoux	1500	3
29390	Scaër	5331	3
29390	Leuhan	790	3
29400	Landivisiau	9176	3
29400	Lampaul-Guimiliau	2044	3
29400	Plounéventer	2003	3
29400	Bodilis	1563	3
29400	Plougourvest	1337	3
29400	Guimiliau	1007	3
29400	Saint-Servais	772	3
29410	Pleyber-Christ	3085	3
29410	Saint-Thégonnec	2633	3
29410	Guiclan	2289	3
29410	Plounéour-Ménez	1287	3
29410	Le Cloître-Saint-Thégonnec	653	3
29420	Plouvorn	2794	3
29420	Plouénan	2451	3
29420	Mespaul	910	3
29430	Plouescat	3603	3
29430	Plounévez-Lochrist	2398	3
29430	Lanhouarneau	1207	3
29430	Tréflez	909	3
29440	Plouzévédé	1728	3
29440	Saint-Vougay	921	3
29440	Saint-Derrien	797	3
29440	Plougar	783	3
29440	Tréflaouénan	536	3
29450	Sizun	2232	3
29450	Commana	1134	3
29450	Le Tréhou	604	3
29460	Dirinon	2428	3
29460	Hôpital-Camfrout	2173	3
29460	Logonna-Daoulas	2098	3
29460	Hanvec	1959	3
29460	Daoulas	1779	3
29460	Irvillac	1364	3
29470	Plougastel-Daoulas	13264	2
29470	Loperhet	3616	3
29480	Le Relecq-Kerhuon	10849	2
29490	Guipavas	13414	2
29500	Ergué-Gabéric	8144	3
29510	Briec	5441	3
29510	Landrévarzec	1714	3
29510	Langolen	884	3
29510	Landudal	831	3
29520	Saint-Thois	716	3
29520	Saint-Goazec	706	3
29520	Laz	693	3
29530	Plonévez-du-Faou	2157	3
29530	Landeleau	1004	3
29530	Collorec	663	3
29540	Châteauneuf-du-Faou	3650	3
29540	Spézet	1804	3
29550	Plomodiern	2239	3
29550	Plonévez-Porzay	1755	3
29550	Saint-Nic	747	3
29550	Ploéven	511	3
29560	Telgruc-sur-Mer	2096	3
29560	Argol	942	3
29570	Camaret-sur-Mer	2618	3
29570	Roscanvel	890	3
29590	Le Faou	1716	3
29590	Saint-Ségal	1009	3
29590	Rosnoën	982	3
29590	Lopérec	838	3
29600	Morlaix	15549	2
29600	Sainte-Sève	874	3
29610	Plouigneau	4799	3
29610	Garlan	1001	3
29620	Plouégat-Guérand	1089	3
29620	Guimaëc	956	3
29630	Plougasnou	3159	3
29630	Saint-Jean-du-Doigt	612	3
29640	Plougonven	3307	3
29640	Scrignac	802	3
29650	Guerlesquin	1377	3
29650	Plouégat-Moysan	658	3
29660	Carantec	3129	3
29670	Taulé	2948	3
29670	Henvic	1298	3
29670	Locquénolé	819	3
29680	Roscoff	3594	3
29690	Huelgoat	1605	3
29690	Berrien	963	3
29690	Plouyé	735	3
29690	La Feuillée	650	3
29700	Plomelin	4129	3
29700	Pluguffan	3616	3
29710	Plozévet	2985	3
29710	Plonéis	2067	3
29710	Pouldreuzic	2051	3
29710	Plogastel-Saint-Germain	1848	3
29710	Landudec	1344	3
29710	Gourlizon	896	3
29710	Peumérit	789	3
29710	Guiler-sur-Goyen	508	3
29720	Plonéour-Lanvern	5929	3
29720	Plovan	665	3
29720	Tréogat	546	3
29750	Loctudy	4069	3
29770	Audierne	2153	3
29770	Esquibien	1598	3
29770	Plogoff	1300	3
29770	Cléden-Cap-Sizun	1012	3
29770	Primelin	750	3
29790	Beuzec-Cap-Sizun	1054	3
29790	Mahalon	907	3
29800	Landerneau	15148	2
29800	Plouédern	2783	3
29800	La Roche-Maurice	1910	3
29800	La Forest-Landerneau	1823	3
29800	Pencran	1779	3
29800	Saint-Urbain	1528	3
29800	Saint-Thonan	1442	3
29800	Saint-Divy	1384	3
29800	Ploudiry	891	3
29800	La Martyre	764	3
29800	Trémaouézan	523	3
29810	Plouarzel	3663	3
29810	Lampaul-Plouarzel	2040	3
29810	Ploumoguer	1951	3
29810	Brélès	825	3
29820	Guilers	7430	3
29820	Bohars	3437	3
29830	Ploudalmézeau	6288	3
29830	Plouguin	2103	3
29830	Lampaul-Ploudalmézeau	777	3
29840	Porspoder	1764	3
29840	Landunvez	1439	3
29840	Lanildut	952	3
29850	Gouesnou	6024	3
29860	Plabennec	8244	3
29860	Plouvien	3700	3
29860	Bourg-Blanc	3402	3
29860	Le Drennec	1793	3
29860	Kersaint-Plabennec	1330	3
29870	Lannilis	5320	3
29870	Landéda	3603	3
29870	Coat-Méal	1034	3
29870	Tréglonou	605	3
29880	Plouguerneau	6373	3
29880	Guissény	2026	3
29890	Kerlouan	2257	3
29890	Plounéour-Trez	1242	3
29890	Brignogan-Plage	777	3
29900	Concarneau	18826	2
29910	Trégunc	6905	3
29920	Névez	2754	3
29930	Pont-Aven	2840	3
29940	La Forêt-Fouesnant	3300	3
29950	Bénodet	3392	3
29950	Gouesnach	2568	3
29950	Clohars-Fouesnant	2260	3
29970	Trégourez	970	3
29980	Île-Tudy	748	3
30000	Nîmes	144940	1
30100	Alès	40851	2
30110	Les Salles-du-Gardon	2543	3
30110	Branoux-les-Taillades	1385	3
30110	Laval-Pradel	1202	3
30110	Sainte-Cécile-d'Andorge	575	3
30114	Nages-et-Solorgues	1548	3
30114	Boissières	533	3
30120	Le Vigan	3930	3
30120	Avèze	1070	3
30120	Molières-Cavaillac	908	3
30121	Mus	1324	3
30126	Saint-Laurent-des-Arbres	2587	3
30126	Tavel	1834	3
30126	Lirac	884	3
30127	Bellegarde	6336	3
30128	Garons	4546	3
30129	Manduel	5910	3
30129	Redessan	3955	3
30130	Pont-Saint-Esprit	10640	2
30130	Saint-Paulet-de-Caisson	1772	3
30130	Saint-Alexandre	1101	3
30130	Carsan	663	3
30131	Pujaut	4039	3
30132	Caissargues	3759	3
30140	Anduze	3262	3
30140	Bagard	2450	3
30140	Boisset-et-Gaujac	2417	3
30140	Tornac	887	3
30140	Générargues	711	3
30140	Massillargues-Attuech	689	3
30150	Roquemaure	5422	3
30150	Saint-Geniès-de-Comolas	1862	3
30160	Bessèges	3042	3
30160	Gagnières	1120	3
30170	Saint-Hippolyte-du-Fort	3842	3
30170	Pompignan	859	3
30170	Monoblet	645	3
30190	La Calmette	1982	3
30190	Saint-Chaptes	1697	3
30190	Moussac	1273	3
30190	Brignon	801	3
30190	Boucoiran-et-Nozières	766	3
30190	Montignargues	625	3
30190	Dions	597	3
30190	La Rouvière	595	3
30190	Collorgues	551	3
30200	Bagnols-sur-Cèze	18349	2
30200	Sabran	1800	3
30200	Vénéjan	1207	3
30200	Orsan	1102	3
30200	Chusclan	980	3
30200	Codolet	709	3
30200	Saint-Michel-d'Euzet	584	3
30200	Saint-Étienne-des-Sorts	523	3
30210	Remoulins	2381	3
30210	Sernhac	1699	3
30210	Castillon-du-Gard	1482	3
30210	Cabrières	1469	3
30210	Lédenon	1392	3
30210	Collias	1044	3
30210	Fournès	888	3
30210	Saint-Hilaire-d'Ozilhan	815	3
30210	Saint-Bonnet-du-Gard	781	3
30210	Pouzilhac	621	3
30210	Valliguières	538	3
30220	Aigues-Mortes	8543	3
30220	Saint-Laurent-d'Aigouze	3310	3
30230	Bouillargues	6183	3
30230	Rodilhan	2818	3
30240	Le Grau-du-Roi	8338	3
30250	Sommières	4463	3
30250	Aubais	2452	3
30250	Junas	1086	3
30250	Aujargues	842	3
30250	Souvignargues	792	3
30250	Combas	581	3
30250	Aspères	506	3
30250	Salinelles	504	3
30260	Quissac	2860	3
30260	Corconne	544	3
30260	Cannes-et-Clairan	514	3
30270	Saint-Jean-du-Gard	2690	3
30290	Saint-Victor-la-Coste	1952	3
30300	Beaucaire	15894	2
30300	Vallabrègues	1352	3
30310	Vergèze	4684	3
30320	Marguerittes	8601	3
30320	Poulx	4045	3
30320	Bezouce	2139	3
30320	Saint-Gervasy	1746	3
30330	Tresques	1755	3
30330	Connaux	1588	3
30330	Gaujac	1026	3
30330	Saint-Paul-les-Fonts	892	3
30330	Cavillargues	806	3
30330	Saint-Marcel-de-Careiret	779	3
30330	Saint-Laurent-la-Vernède	722	3
30340	Saint-Privat-des-Vieux	4737	3
30340	Rousson	3786	3
30340	Salindres	3145	3
30340	Méjannes-lès-Alès	1117	3
30350	Lédignan	1424	3
30350	Cardet	854	3
30350	Domessargues	701	3
30350	Aigremont	666	3
30350	Moulézan	597	3
30350	Saint-Jean-de-Serres	517	3
30360	Vézénobres	1726	3
30360	Ners	706	3
30360	Cruviers-Lascours	655	3
30360	Saint-Maurice-de-Cazevieille	653	3
30360	Deaux	628	3
30360	Monteils	628	3
30380	Saint-Christol-lès-Alès	6738	3
30390	Aramon	3821	3
30390	Théziers	1071	3
30390	Domazan	938	3
30400	Villeneuve-lès-Avignon	12266	2
30410	Molières-sur-Cèze	1552	3
30410	Meyrannes	845	3
30420	Calvisson	5132	3
30430	Saint-Jean-de-Maruéjols-et-Avéjan	949	3
30430	Méjannes-le-Clap	655	3
30440	Sumène	1633	3
30450	Génolhac	864	3
30460	Lasalle	1106	3
30470	Aimargues	4576	3
30480	Cendras	1936	3
30490	Montfrin	3144	3
30500	Saint-Victor-de-Malcap	769	3
30500	Saint-Julien-de-Cassagnas	633	3
30510	Générac	3983	3
